Result,Nationality,Points,Rider,Year,Date,Race,Weather
1,Aus,200,Brosnan Troy,2021,13/06/2021,Leogang,Dry
2,Fra,160,Daprela Thibaut,2021,13/06/2021,Leogang,Dry
3,Fra,140,Pierron Amaury,2021,13/06/2021,Leogang,Dry
4,Sct,125,Wilson Reece,2021,13/06/2021,Leogang,Dry
5,Fra,110,Coulanges Benoit,2021,13/06/2021,Leogang,Dry
6,Brt,95,Hart Danny,2021,13/06/2021,Leogang,Dry
7,Brt,90,Greenland Laurie,2021,13/06/2021,Leogang,Dry
8,Fra,85,Thirion Rémi,2021,13/06/2021,Leogang,Dry
9,Usa,80,Norton Dakotah,2021,13/06/2021,Leogang,Dry
10,Fra,75,Bruni Loic,2021,13/06/2021,Leogang,Dry
11,Nzl,70,Masters Edward,2021,13/06/2021,Leogang,Dry
12,Rsa,65,Minnaar Greg,2021,13/06/2021,Leogang,Dry
13,Sct,60,Williamson Greg,2021,13/06/2021,Leogang,Dry
14,Can,55,Iles Finnley,2021,13/06/2021,Leogang,Dry
15,Brt,50,Hatton Charlie,2021,13/06/2021,Leogang,Dry
16,Brt,45,Kerr Bernard,2021,13/06/2021,Leogang,Dry
17,Fra,44,Pierron Baptiste,2021,13/06/2021,Leogang,Dry
18,Can,43,Wallace Mark,2021,13/06/2021,Leogang,Dry
19,Aut,42,Trummer David,2021,13/06/2021,Leogang,Dry
20,Irl,41,Dickson Jacob,2021,13/06/2021,Leogang,Dry
21,Brt,40,Edwards Kade,2021,13/06/2021,Leogang,Dry
22,Usa,39,Gwin Aaron,2021,13/06/2021,Leogang,Dry
23,Brt,38,Atwill Philip,2021,13/06/2021,Leogang,Dry
24,Slo,37,Žabjek Jure,2021,13/06/2021,Leogang,Dry
25,Brt,36,Walker Matt,2021,13/06/2021,Leogang,Dry
26,Usa,35,Shaw Luca,2021,13/06/2021,Leogang,Dry
27,Esp,34,Suarez Alonso Angel,2021,13/06/2021,Leogang,Dry
28,Aut,33,Kolb Andreas,2021,13/06/2021,Leogang,Dry
29,Irl,32,Dunne Ronan,2021,13/06/2021,Leogang,Dry
30,Brt,31,Breeden Joe,2021,13/06/2021,Leogang,Dry
31,Ger,30,Hartenstern Max,2021,13/06/2021,Leogang,Dry
32,Esp,29,Marin Trillo Alex,2021,13/06/2021,Leogang,Dry
33,Aus,28,A'Hern Kye,2021,13/06/2021,Leogang,Dry
34,Brt,27,Atherton Gee,2021,13/06/2021,Leogang,Dry
35,Swe,26,Zwar Oliver,2021,13/06/2021,Leogang,Dry
36,Nzl,25,Brannigan George,2021,13/06/2021,Leogang,Dry
37,Aus,24,Hannah Michael,2021,13/06/2021,Leogang,Dry
38,Svk,23,Baránek Rastislav,2021,13/06/2021,Leogang,Dry
39,Fra,22,Vige Gaëtan,2021,13/06/2021,Leogang,Dry
40,Fra,21,Iniguez Matteo,2021,13/06/2021,Leogang,Dry
41,Fra,20,Estaque Thomas,2021,13/06/2021,Leogang,Dry
42,Sct,19,Edmondson Jamie,2021,13/06/2021,Leogang,Dry
43,Fra,18,Pierron Antoine,2021,13/06/2021,Leogang,Dry
44,Brt,17,Fairclough Brendan,2021,13/06/2021,Leogang,Dry
45,Fra,16,Levesque Dylan,2021,13/06/2021,Leogang,Dry
46,Can,15,Jamieson Elliot,2021,13/06/2021,Leogang,Dry
47,Fra,14,Vidal Antoine,2021,13/06/2021,Leogang,Dry
48,Swe,13,Zwar Kvist Benjamin,2021,13/06/2021,Leogang,Dry
49,Fra,12,Frixtalon Hugo,2021,13/06/2021,Leogang,Dry
50,Nzl,11,Masters Wyn,2021,13/06/2021,Leogang,Dry
51,Usa,10,Nestoroff Nikolas,2021,13/06/2021,Leogang,Dry
52,Nzl,9,Macdonald Brook,2021,13/06/2021,Leogang,Dry
53,Can,8,Cruz Lucas,2021,13/06/2021,Leogang,Dry
54,Ita,7,Revelli Loris,2021,13/06/2021,Leogang,Dry
55,Sui,6,Baechler Yannick,2021,13/06/2021,Leogang,Dry
56,Fra,5,Garcin Johan,2021,13/06/2021,Leogang,Dry
57,Fra,4,Ruffin Gaëtan,2021,13/06/2021,Leogang,Dry
58,Fra,3,Chapelet Simon,2021,13/06/2021,Leogang,Dry
59,Fra,2,Laly Thibault,2021,13/06/2021,Leogang,Dry
60,Nzl,1,Walker Matthew,2021,13/06/2021,Leogang,Dry
1,Fra,200,Daprela Thibaut,2021,04/07/2021,Les Gets,Wet
2,Ger,160,Hartenstern Max,2021,04/07/2021,Les Gets,Wet
3,Fra,140,Pierron Baptiste,2021,04/07/2021,Les Gets,Wet
4,Aus,125,Fearon Connor,2021,04/07/2021,Les Gets,Wet
5,Can,110,Wallace Mark,2021,04/07/2021,Les Gets,Wet
6,Aus,95,Lucas Dean,2021,04/07/2021,Les Gets,Wet
7,Rsa,90,Minnaar Greg,2021,04/07/2021,Les Gets,Wet
8,Nzl,85,Brannigan George,2021,04/07/2021,Les Gets,Wet
9,Brt,80,Edwards Kade,2021,04/07/2021,Les Gets,Wet
10,Brt,75,Breeden Joe,2021,04/07/2021,Les Gets,Wet
11,Brt,70,Jones Michael,2021,04/07/2021,Les Gets,Wet
12,Brt,65,Atwill Philip,2021,04/07/2021,Les Gets,Wet
13,Brt,60,Walker Matt,2021,04/07/2021,Les Gets,Wet
14,Brt,55,Fairclough Brendan,2021,04/07/2021,Les Gets,Wet
15,Nzl,50,Blenkinsop Samuel,2021,04/07/2021,Les Gets,Wet
16,Brt,45,Kerr Bernard,2021,04/07/2021,Les Gets,Wet
17,Irl,44,Dunne Ronan,2021,04/07/2021,Les Gets,Wet
18,Ita,43,Palazzari Davide,2021,04/07/2021,Les Gets,Wet
19,Aus,42,Meier-Smith Luke,2021,04/07/2021,Les Gets,Wet
20,Fra,41,Levesque Dylan,2021,04/07/2021,Les Gets,Wet
21,Brt,40,Vernon Taylor,2021,04/07/2021,Les Gets,Wet
22,Swe,39,Zwar Kvist Benjamin,2021,04/07/2021,Les Gets,Wet
23,Rsa,38,Erlangsen Theo,2021,04/07/2021,Les Gets,Wet
24,Fra,37,Laly Thibault,2021,04/07/2021,Les Gets,Wet
25,Fra,36,Vergier Loris,2021,04/07/2021,Les Gets,Wet
26,Brt,35,Greenland Laurie,2021,04/07/2021,Les Gets,Wet
27,Sui,34,Baechler Yannick,2021,04/07/2021,Les Gets,Wet
28,Fra,33,Coulanges Benoit,2021,04/07/2021,Les Gets,Wet
29,Aus,32,A'Hern Kye,2021,04/07/2021,Les Gets,Wet
30,Fra,31,Pierron Antoine,2021,04/07/2021,Les Gets,Wet
31,Aus,30,Hannah Michael,2021,04/07/2021,Les Gets,Wet
32,Sct,29,Williamson Greg,2021,04/07/2021,Les Gets,Wet
33,Can,28,Iles Finnley,2021,04/07/2021,Les Gets,Wet
34,Ned,27,Botteram Tristan,2021,04/07/2021,Les Gets,Wet
35,Nor,26,Leivsson Isak,2021,04/07/2021,Les Gets,Wet
36,Usa,25,Gwin Aaron,2021,04/07/2021,Les Gets,Wet
37,Por,24,Bandeira Gonçalo,2021,04/07/2021,Les Gets,Wet
38,Ger,23,Fischbach Johannes,2021,04/07/2021,Les Gets,Wet
39,Nzl,22,Macdonald Brook,2021,04/07/2021,Les Gets,Wet
40,Fra,21,Thirion Rémi,2021,04/07/2021,Les Gets,Wet
41,Aus,20,Brosnan Troy,2021,04/07/2021,Les Gets,Wet
42,Irl,19,Dickson Jacob,2021,04/07/2021,Les Gets,Wet
43,Fra,18,Frixtalon Hugo,2021,04/07/2021,Les Gets,Wet
44,Usa,17,Norton Dakotah,2021,04/07/2021,Les Gets,Wet
45,Fra,16,Garcin Johan,2021,04/07/2021,Les Gets,Wet
46,Swe,15,Zwar Oliver,2021,04/07/2021,Les Gets,Wet
47,Fra,14,Vallon Elliot,2021,04/07/2021,Les Gets,Wet
48,Slo,13,Žabjek Jure,2021,04/07/2021,Les Gets,Wet
49,Esp,12,Marin Trillo Alex,2021,04/07/2021,Les Gets,Wet
50,Fra,11,Bruni Loic,2021,04/07/2021,Les Gets,Wet
51,Fra,10,Iniguez Matteo,2021,04/07/2021,Les Gets,Wet
52,Usa,9,Shaw Luca,2021,04/07/2021,Les Gets,Wet
53,Fra,8,Ruffin Thibaut,2021,04/07/2021,Les Gets,Wet
54,Aut,7,Trummer David,2021,04/07/2021,Les Gets,Wet
55,Can,6,Fitzgerald Henry,2021,04/07/2021,Les Gets,Wet
56,Fra,5,Chatanay Valentin,2021,04/07/2021,Les Gets,Wet
57,Brt,4,Hart Danny,2021,04/07/2021,Les Gets,Wet
58,Sct,3,Wilson Reece,2021,04/07/2021,Les Gets,Wet
59,Nzl,2,Masters Edward,2021,04/07/2021,Les Gets,Wet
60,Esp,1,Suarez Alonso Angel,2021,04/07/2021,Les Gets,Wet
61,Aut,0,Kolb Andreas,2021,04/07/2021,Les Gets,Wet
62,Fra,0,Vige Gaëtan,2021,04/07/2021,Les Gets,Wet
1,Fra,200,Vergier Loris,2021,15/08/2021,Maribor,Dry
2,Fra,160,Daprela Thibaut,2021,15/08/2021,Maribor,Dry
3,Brt,140,Greenland Laurie,2021,15/08/2021,Maribor,Dry
4,Rsa,125,Minnaar Greg,2021,15/08/2021,Maribor,Dry
5,Fra,110,Bruni Loic,2021,15/08/2021,Maribor,Dry
6,Fra,95,Coulanges Benoit,2021,15/08/2021,Maribor,Dry
7,Usa,90,Shaw Luca,2021,15/08/2021,Maribor,Dry
8,Brt,85,Hart Danny,2021,15/08/2021,Maribor,Dry
9,Esp,80,Suarez Alonso Angel,2021,15/08/2021,Maribor,Dry
10,Brt,75,Slack Dan,2021,15/08/2021,Maribor,Dry
11,Brt,70,Walker Matt,2021,15/08/2021,Maribor,Dry
12,Aus,65,Brosnan Troy,2021,15/08/2021,Maribor,Dry
13,Aut,60,Trummer David,2021,15/08/2021,Maribor,Dry
14,Fra,55,Thirion Rémi,2021,15/08/2021,Maribor,Dry
15,Nzl,50,Macdonald Brook,2021,15/08/2021,Maribor,Dry
16,Aut,45,Kolb Andreas,2021,15/08/2021,Maribor,Dry
